query_id	strong_norm	heavy	heavy_normalized
3992	Apa ibu kota Vietnam?	ibukotanya vietnam tuh apaan sih	ibukotanya vietnam itu apaan sih
4031	Siapa vokalis grup The Police?	vokalisnya band the police tuh sapa dah	vokalisnya band the police itu sapa deh
4168	Kapan atom ditemukan?	atom tuh ditemuinnya kpn sih cuy	atom itu ditemuinnya kapan sih coy
4183	Dari mana Samaun Bakri berasal?	si samaun bakri tuh org mana sih asalnya	sih samaun bakri itu orang mana sih asalnya
4198	Berapa luas Kabupaten Kepulauan Meranti?	kab kepulauan meranti tuh luasnya brp dah	kabupaten kepulauan meranti itu luasnya berapa deh
4217	Berapa luas Republik Ghana?	negara ghana tuh luasnya brp sih gan	negara ghana itu luasnya berapa sih juragan
4232	Agama apa yang dianut oleh orang Minangkabau?	org minang tuh rata2 agamanya apaan dah	orang minang itu rata-rata agamanya apaan deh
4254	Kapan internet ditemukan?	internet tuh ada sejak kpn sih gaes	internet itu ada sejak kapan sih guys
4332	Berapa luas Jepang?	jepang tuh total luasnya brp dah	jepang itu total luasnya berapa deh
4358	Siapa saja yang terlibat dalam proyek SOI ASIA?	yg ikutan proyek SOI ASIA tuh sapa aja dah	yang ikutan proyek SOI ASIA itu sapa saja deh
4362	Negara apa yang pertama kali mengirim satelit ke luar angkasa?	negara mana sih yg first time ngirim satelit ke space	negara mana sih yang first time mengirim satelit ke space
4387	Berapa luas Kabupaten Trenggalek?	kab trenggalek tuh luasnya brp dah	kabupaten trenggalek itu luasnya berapa deh
4436	Berapa luas Filipina?	filipina tuh negaranya luas brp sih	filipina itu negaranya luas berapa sih
4574	Siapa pemimpin pertama Kekhalifahan Abbasiyah?	khalifah pertama abbasiyah tuh sapa dah	khalifah pertama abbasiyah itu sapa deh
4589	Apa yang dimaksud dengan ordo mendikan?	ordo mendikan tuh apaan dah maksudnya	ordo mendikan itu apaan deh maksudnya
4600	Berapa jumlah anak Joko Widodo?	anaknya pak jokowi tuh ada brp org sih	anaknya pak jokowi itu ada berapa orang sih
4603	Di mana Kampanye Guadalkanal terjadi?	kampanye guadalkanal tuh kejadiannya dmn dah	kampanye guadalkanal itu kejadiannya dimana deh
4608	Mata uang apa yang digunakan di Yunani?	org yunani belanjanya pake duit apa sih	orang yunani belanjanya pakai duit apa sih
4677	Kapan Istana Osaka didirikan?	istana osaka tuh dibangunnya taun brp dah	istana osaka itu dibangunnya tahun berapa deh
4690	Apa yang dimaksud dengan molekul?	molekul tuh apaan sih sbnrnya	molekul itu apaan sih sebenarnya
4701	Kapan Kekaisaran Romawi Timur runtuh?	romawi timur tuh collapse-nya kpn dah	romawi timur itu collapse - nya kapan deh
4733	Apa nama tempat peribadatan agama Buddha?	org buddha ibadahnya dmn sih, namanya apaan tempatnya	orang buddha ibadahnya dimana sih , namanya apaan tempatnya
4779	Apa nama ibu kota Australia?	ibukotanya australia tuh apaan dah cuy	ibukotanya australia itu apaan deh coy
4797	Kapan Gerakan Angkatan Muda Kristen Indonesia didirikan?	gerakan angkatan muda kristen indonesia tuh berdirinya kpn dah	gerakan angkatan muda kristen indonesia itu berdirinya kapan deh
4816	Kapan Bayezid I lahir?	sultan bayezid I tuh lahirnya taun brp sih	sultan bayezid I itu lahirnya tahun berapa sih
4889	Berapa luas wilayah Tolitoli?	tolitoli tuh luas wilayahnya brp dah	tolitoli itu luas wilayahnya berapa deh
4919	Berapa luas Jambi?	provinsi jambi tuh luasnya brp sih	provinsi jambi itu luasnya berapa sih
4962	Kapan Minamoto no Yoritomo meninggal?	minamoto no yoritomo tuh matinya kpn dah	minamoto no yoritomo itu matinya kapan deh
5003	Di mana kantor pusat Sinar Harapan?	kantor pusat sinar harapan tuh dmn sih lokasinya	kantor pusat sinar harapan itu dimana sih lokasinya
506	Berapa luas Maluku Utara?	malut tuh total luasnya brp dah gan	malut itu total luasnya berapa deh juragan
5210	Bahasa apa yang paling banyak digunakan di Afganistan?	org afganistan tuh kebanyakan ngomong pake bahasa apaan sih	orang afganistan itu kebanyakan mengomong pakai bahasa apaan sih
5245	Negara mana yang paling banyak menggunakan bahasa Sanskerta?	bahasa sanskerta tuh plg banyak dipake di negara mana dah	bahasa sanskerta itu pulang banyak dipakai di negara mana deh
5253	Kapan Imagawa Yoshimoto meninggal?	si imagawa yoshimoto tuh matinya taun brp dah	sih imagawa yoshimoto itu matinya tahun berapa deh
5278	Berapa nomor atom karbon?	karbon tuh nomor atomnya brp sih gaes	karbon itu nomor atomnya berapa sih guys
5286	Siapa yang mendirikan Pondok Pesantren Pabelan?	ponpes pabelan tuh yg ngediriin sapa dah	pondok pesantren pabelan itu yang ngediriin sapa deh
5352	Ada berapa season serial Prison Break?	prison break tuh total ada brp season dah, ada yg tau	prison break itu total ada berapa season deh , ada yang tau
5370	Kapan Toy Story pertama dirilis?	toy story yg pertama tuh release kpn dah	toy cerita yang pertama itu release kapan deh
5372	Apa pengertian dari seorang filsuf?	filsuf tuh sbnrnya apaan dah artinya	filsuf itu sebenarnya apaan deh artinya
5503	Di mana Suku Anak Dalam tinggal?	suku anak dalam tuh tinggalnya dmn sih daerah mana	suku anak dalam itu tinggalnya dimana sih daerah mana
555	Apakah aroma bahan koktail berasal dari buah?	aroma koktail tuh beneran dr buah apa bukan sih	aroma koktail itu benaran dari buah apa bukan sih
5557	Dari mana asal jamur shiitake?	jamur shiitake tuh aslinya dr mana dah	jamur shiitake itu aslinya dari mana deh
5567	Berapa luas Kabupaten Brebes, Jawa Tengah?	brebes jateng tuh luasnya brp sih dah	brebes jawa tengah itu luasnya berapa sih deh
5583	Di mana letak gereja tertua di dunia?	gereja plg tua sedunia tuh lokasinya dmn dah	gereja pulang tua sedunia itu lokasinya dimana deh
5586	Apa nama negara terkecil di Eropa?	negara plg mini di eropa tuh apaan sih namanya	negara pulang mini di eropa itu apaan sih namanya
559	Pada tahun berapa SWA didirikan?	SWA tuh berdirinya taun brp dah	SWA itu berdirinya tahun berapa deh
567	Kapan D. Afonso Henriques lahir?	d afonso henriques tuh lahirnya kpn sih	di afonso henriques itu lahirnya kapan sih
568	Siapa ayah dari Sultan Mansur Syah?	bokapnya sultan mansur syah tuh sapa dah	bokapnya sultan mansur syah itu sapa deh
5706	Siapa pencipta serial Transformers?	yg nyiptain serial transformers tuh sapa sih cuy	yang nyiptain serial transformers itu sapa sih coy
5719	Apa karya pertama dari Turbo?	karya pertama si turbo tuh apaan dah	karya pertama sih turbo itu apaan deh
5811	Bagaimana sistem pemerintahan Mesir?	mesir tuh sistem pemerintahannya kyk gmn dah	mesir itu sistem pemerintahannya kayak bagaimana deh
5861	Apa itu logaritma?	logaritma tuh apaan sih, ada yg bs jelasin ga	logaritma itu apaan sih , ada yang bisa jelaskan enggak
5971	Apa itu bilangan pecahan?	bilangan pecahan tuh yg gmn sih maksudnya	bilangan pecahan itu yang bagaimana sih maksudnya
5980	Berapa luas Kabupaten Kolaka Utara?	kab kolaka utara tuh luasnya brp dah	kabupaten kolaka utara itu luasnya berapa deh
60	Kapan Paus Benediktus XV lahir?	paus benediktus XV tuh lahirnya kpn sih	paus benediktus XV itu lahirnya kapan sih
6021	Kapan Tembok Berlin dibangun?	tembok berlin tuh dibangunnya taun brp dah	tembok berlin itu dibangunnya tahun berapa deh
6052	Berapa populasi penganut Kristen di Indonesia pada tahun 2010?	org kristen di indo taun 2010 tuh jumlahnya brp sih	orang kristen di indonesia tahun 2010 itu jumlahnya berapa sih
6085	Siapa yang dimaksud dengan orang-orang Majus?	org2 majus tuh sbnrnya sapa dah mereka	orang-orang majus itu sebenarnya sapa deh mereka
6087	Apakah cahaya lebih cepat daripada suara?	bener ga sih cahaya tuh lebih ngebut drpd suara	benar enggak sih cahaya itu lebih ngebut daripada suara
613	Apa yang dimaksud dengan Uskup Roma?	uskup roma tuh apaan dah maksudnya	uskup roma itu apaan deh maksudnya
662	Apa warna bendera Norwegia?	bendera norwegia tuh warnanya apaan aja sih	bendera norwegia itu warnanya apaan saja sih
679	Apa itu Qere dan Ketiv?	qere sm ketiv tuh apaan dah, ada yg ngerti	qere sama ketiv itu apaan deh , ada yang mengerti
706	Siapa yang membawa agama Kristen masuk ke Indonesia?	yg pertama bawa kristen ke indo tuh sapa dah	yang pertama bawa kristen ke indonesia itu sapa deh
713	Mata uang apa yang digunakan di Jerman?	di jerman org belanja pake duit apaan sih	di jerman orang belanja pakai duit apaan sih
736	Di mana wilayah kekuasaan Dinasti Utsmaniyah?	wilayah kekuasaan dinasti utsmaniyah tuh dmn aja dah	wilayah kekuasaan dinasti utsmaniyah itu dimana saja deh
746	Berapa luas Samudera Pasifik?	samudra pasifik tuh luasnya brp dah	samudra pasifik itu luasnya berapa deh
78	Kapan Provinsi Bangka Belitung didirikan?	provinsi babel tuh dibentuknya taun brp sih	provinsi babel itu dibentuknya tahun berapa sih
79	Siapa yang memenangkan balapan Formula 1 pertama?	race F1 yg first time tuh yg menang sapa dah	race F1 yang first time itu yang menang sapa deh
830	Berapa luas Kota Cirebon?	kota cirebon tuh luasnya brp sih dah	kota cirebon itu luasnya berapa sih deh
849	Apa alasan Ghana Airways dihentikan?	ghana airways tuh knp dah bisa disetop operasinya	ghana airways itu kenapa deh bisa disetop operasinya
919	Apa yang dimaksud dengan frekuensi audio?	frekuensi audio tuh apaan dah maksudnya	frekuensi audio itu apaan deh maksudnya
