query_id	llm_lean
4690	molekul itu maksudnya apa sih
4779	ibukota australia nama apa ya
4701	kekaisaran romawi timur runtuh taun brp sih
4254	internet ditemukan kapan dong
4816	bayezid I lahir kapan sih
4889	luas wilayah Tolitoli brp ya
506	Maluku Utara luasnya brp nih
4919	luas jambi brp gan
5003	kantor pusat sinar harapan ada dimana nih
5210	bahasa yg paling banyak dipakai di Afganistan apa ya
4962	minamoto no yoritomo meninggal kapan sih
5253	kapan Imagawa Yoshimoto meninggal sih
5245	bahasa sanskerta dipakai paling banyak di negara mana ya
5278	nomor atom karbon brp sih
5370	toy story pertama rilis kapan nih
5286	pondok pesantren pabelan didirikan siapa sih
5352	serial drama prison break ada brp season sih
555	aroma bahan koktail asalnya dari buah ga
5567	luas kabupaten brebes jawa tengah brp ya
5557	jamur shiitake asalnya dari mana sih
5503	suku anak dalam letaknya dimana nih
5372	seorang filsuf itu pengertian apa sih
5583	gereja tertua di dunia letaknya dimana sih
5586	negara terkecil di eropa nama apa sih
568	sultan mansur syah ayahnya siapa sih
5706	pencipta serial Transformers siapa sih
567	d afonso henriques lahir kapan ya
5811	sistem pemerintahan mesir gimana sih
5861	logaritma itu apa sih
559	swa didirikan taun brp sih
5971	bilangan pecahan apa sih
5980	luas kabupaten kolaka utara brp dong
5719	karya pertama dari turbo apa dong
6021	tembok berlin dibangun kapan ya
60	paus benediktus xv lahir kapan ya
6052	populasi penganut kristen di indonesia 2010 brp ya
613	uskup roma maksudnya apa sih
6087	cahaya lebih cepat dari suara ga
662	bendera norwegia warnanya apa sih
679	qere dan ketiv itu apa sih
746	luas samudera pasifik brp sih
78	provinsi Bangka Belitung didirikan kapan sih
706	siapa yg bawa agama kristen masuk ke indonesia sih
736	wilayah kekuasaan dinasti utsmaniyah dimana sih
830	luas kota Cirebon brp ya
79	balapan formula 1 pertama dimenangi siapa sih
849	ghana airways dihentikan alasannya apa sih
919	frekuensi audio itu maksudnya apa sih
6085	orang-orang majus itu siapa sih
713	mata uang yg dipakai di Jerman apa sih
