query_id	formal	informal
2154	Apa yang menyebabkan terjadinya pemberontakan petani pada akhir Dinasti Sui?	kenapa petani berontak di akhir dinasti sui?
2161	Berapa lama jarak tempuh penerbangan Jakarta-Raja Ampat ?	penerbangan jakarta-raja ampat berapa lama?
2188	Apakah jabatan Prof. Dr. Johannes Baptista Sumarlin?	jabatan Prof. Dr. Johannes Baptista Sumarlin itu apa?
220	apakah hewan tercepat di dunia?	hewan paling cepat di dunia apa?
2233	Apakah nama tempat ibadah Yahudi ?	nama tempat ibadah Yahudi?
2262	dimankah Zhangsun Wuji dilahirkan?	Zhangsun Wuji lahir dimana?
2843	Apakah Albert Einstein‎ filsuf berasal dari Jerman?	Albert Einstein itu filsuf dari Jerman kah?
2898	Dimana Tuak nira diproduksi di Indonesia?	tuak nira di indonesia diproduksinya dimana sih?
2919	Apakah bahasa Kekaisaran Persia Akhaimenia?	kekaisaran persia akhaimenia pake bahasa apa?
2965	Berapa luas wilayah Candi Cangkuang?	candi cangkuang luasnya brp?
298	apakah yang di maksud dengan uskup?	uskup itu apaan sih?
2987	Kapan ilmu biologi ditemukan ?	ilmu biologi kapan ditemuin?
3042	Berapa negara bagian di Venezuela?	venezuela ada brp negara bagian?
3046	Apa itu transistor?	transistor tuh apa?
3071	berapakah luas Maluku Utara?	maluku utara luasnya berapa ya?
3084	berapakah jumlah negara yang di lintasi Sungai Nil?	sungai nil ngelewatin brp negara?
310	Siapa pendiri General Electric Transportation?	yg bikin General Electric Transportation siapa?
3110	Apa partai politik pertama di Indonesia ?	partai politik pertama di indonesia apa?
3119	apakah ibukota  Korea Utara?	ibukota korut apa ya?
3121	Apakah Pemasaran Internasional dapat menyebabkan kenaikan harga?	emang pemasaran internasional bisa bikin harga naik?
316	Apakah bilangan genap?	bilangan genap itu apa sih?
3212	Kapan Italia menjadi negara Republik ?	italia jadi republik kapan?
3213	Dimana Song Jieun lahir ?	song jieun lahirnya dimana?
3227	Siapakah tokoh utama dalam Dragon Ball ?	tokoh utama dragon ball siapa?
324	Siapakah penegak hukum di Indonesia?	yg negakin hukum di indonesia siapa aja?
3254	Apakah nama penyakit yang menyerang Gandum?	penyakit yg nyerang gandum namanya apa?
3273	Tahun berapa Moritz Kaposi menemukan Sarkoma Kaposi?	moritz kaposi nemuin sarkoma kaposi tahun brp?
3406	kapankah Kesultanan Utsmaniyah didirikan?	kesultanan utsmaniyah berdirinya kapan?
3452	Siapakah Ki Tjokrowasito?	ki tjokrowasito itu siapa sih?
3472	Kapankah hari pancasila diperingati ?	hari pancasila diperingatinya kapan sih?
3482	siapakah yang memulai Seni modern?	yg mulai seni modern siapa?
358	apakah siaran TV tertua di Indonesia?	siaran tv paling tua di indonesia apa?
3609	berapakah sekuel Harry Potter ?	harry potter sekuelnya ada brp?
361	Apakah Enzim restriksi bersifat asam?	enzim restriksi itu asam bukan sih?
3616	Kapan Ritus Suriah Timur dilakukan?	ritus suriah timur dilakuinnya kapan?
3620	apakah bahasa Yunani adalah bahasa tertua di dunia?	bener gak bahasa yunani bahasa paling tua di dunia?
3662	Kapankah hari kemerdekaan Ukraina?	ukraina merdekanya kapan?
367	Apakah pengertian dari hadist ?	hadist itu apa sih?
3696	Apa warna bendera India ?	bendera india warnanya apa aja?
3731	Berapa luas Kabupaten Klungkung?	kabupaten klungkung luasnya brp?
3767	apakah yang di maksud dengan atom?	atom itu apaan?
3779	Apa yang dimaksud dengan tabel periodik ?	tabel periodik tuh apa?
3787	Kapan Dr. Moewardi lulus dari STOVIA?	dr moewardi lulus stovia kapan?
389	Apa pengertian ilmu Astronomi ?	ilmu astronomi itu apa ya?
3892	Apa yang dimaksud dengan Karotenoid ?	karotenoid itu apaan sih?
3917	siapakah pendiri Majalah Bobo?	majalah bobo yg bikin siapa?
3930	siapakah pencipta roket pertama kali?	roket pertama kali diciptain siapa?
3969	Siapa ibu Bolesław I Chrobry?	ibunya Boleslaw I Chrobry siapa?
3984	kapankah  Alamat IP pertama kali diperkenalkan pada komputer?	alamat IP pertama kali dipake di komputer kapan ya?
3992	Apakah ibukota Vietnam?	ibukota vietnam apa?
4031	Siapakah vokalis dari grup The Police?	vokalisnya The Police siapa?
4168	Kapan atom ditemukan ?	atom ditemuinnya kapan?
4183	Dari mana Samaun Bakri berasal ?	samaun bakri asalnya dr mana?
4198	Berapa luas Kabupaten Kepulauan Meranti?	kab kepulauan meranti luasnya berapa?
4217	Berapa luas Republik Ghana?	ghana luasnya brp sih?
4232	apakah agama yang di anut oleh orang Minangkabau ?	orang minang agamanya apa?
4254	Kapan internet ditemukan ?	internet ada sejak kapan sih?
4332	berapakah luas Jepang ?	jepang tuh luasnya berapa?
4358	Siapakah yang terlibat dalam proyek SOI ASIA?	siapa aja yg ikut proyek SOI ASIA?
4362	Negara manakah yang pertama kali mengirim satelit ke luar angkasa ?	negara apa yg pertama ngirim satelit ke luar angkasa?
4387	berapakah luas Kabupaten Trenggalek?	luas kab trenggalek brp ya?
4436	berapakah luas Filipina?	filipina luasnya berapa sih?
4574	Siapa pemimpin pertama Kekhalifahan Abbasiyah?	pemimpin pertama kekhalifahan abbasiyah siapa?
4589	Apakah yang dimaksud dengan Ordo mendikan?	ordo mendikan itu apa sih?
4600	berapakah jumlah anak Joko Widodo?	anaknya jokowi ada berapa?
4603	dimanakah Kampanye Guadalkanal terjadi?	kampanye guadalkanal itu kejadiannya dimana?
4608	apakah mata uang yang digunakan di Yunani?	yunani pake mata uang apa?
4677	Kapan Istana Osaka didirikan?	istana osaka dibangunnya kapan?
4690	Apa yang dimaksud dengan Molekul?	molekul itu apa ya?
4701	Kapan kekaisaran Romawi Timur runtuh?	romawi timur runtuhnya kapan?
4733	Apakah nama tempat peribadatan agama Buddha?	tempat ibadah orang buddha namanya apa?
4779	apakah nama ibukota Australia?	ibukota australia apaan?
4797	Kapan Gerakan Angkatan Muda Kristen Indonesia didirikan?	gerakan angkatan muda kristen indonesia berdirinya kapan?
4816	Kapan Bayezid I lahir ?	bayezid I lahir tahun brp?
4889	Berapakah luas wilayah Tolitoli?	tolitoli luas wilayahnya brp?
4919	berapakah luas Jambi ?	jambi luasnya berapa ya?
4962	Kapan Minamoto no Yoritomo meninggal?	minamoto no yoritomo meninggalnya kapan?
5003	dimanakah kantor pusat Sinar Harapan?	kantor pusatnya sinar harapan dimana?
506	Berapa luas Maluku Utara ?	malut luasnya berapa sih?
5210	bahasa apakah yang paling banyak digunakan di Afganistan?	di afganistan orang paling banyak ngomong bahasa apa?
5245	negara manakah yang paling banyak menggunakan Bahasa Sanskerta?	negara mana yg paling banyak make bahasa sanskerta?
5253	Kapan Imagawa Yoshimoto meninggal ?	imagawa yoshimoto matinya kapan?
5278	Apa nomor atom Karbon?	nomor atom karbon brp?
5286	Siapakah yang mendirikan Pondok Pesantren Pabelan?	ponpes pabelan itu yg bikin siapa?
5352	Ada berapa season serial drama Prison Break?	prison break ada brp season sih?
5370	kapankah Toy Story pertama dirilis?	toy story pertama rilis kapan?
5372	Apa pengertian dari seorang filsuf ?	filsuf itu apaan sih?
5503	Dimana letak Suku Anak Dalam ?	suku anak dalam tinggalnya dimana?
555	Apakah aroma bahan dari koktail berasal dari buah ?	aroma koktail tuh emang dari buah?
5557	dari manakah asal jamur Shiitake?	jamur shiitake asalnya darimana?
5567	berapakah luas Kabupaten Brebes Jawa Tengah?	kab brebes jateng luasnya brp?
5583	dimanakah letak Gereja tertua di dunia?	gereja paling tua di dunia ada dimana?
5586	Apa nama negara terkecil di Eropa?	negara paling kecil di eropa apa?
559	tahun berapakah SWA didirikan?	SWA berdiri tahun brp?
567	Kapan D. Afonso Henriques lahir?	D. Afonso Henriques lahirnya kapan?
568	siapakah ayah dari Sultan Mansur Syah?	bapaknya sultan mansur syah siapa?
5706	siapakah pencipta serial Transformers?	serial transformers yg bikin siapa?
5719	Apakah karya pertama dari Turbo ?	karya pertamanya Turbo apa?
5811	Bagaimankah sistem pemerintahan Mesir?	sistem pemerintahan mesir gmn sih?
5861	Apa itu logaritma?	logaritma tuh apaan?
5971	Apa itu bilangan pecahan?	bilangan pecahan itu apa ya?
5980	Berapa luas Kabupaten Kolaka Utara?	kolaka utara luasnya berapa?
60	Kapan Paus Benediktus XV lahir ?	paus benediktus XV lahir kapan?
6021	Kapankah tembok berlin dibangun ?	tembok berlin dibangunnya kapan sih?
6052	Berapa populasi penganut kristen di Indonesia tahun 2010 ?	org kristen di indonesia tahun 2010 ada brp?
6085	Siapa yang dimaksud dengan orang-orang Majus ?	org2 majus itu siapa sih?
6087	apakah cahaya lebih cepat dari suara?	cahaya emang lebih cepet dr suara ya?
613	Apa yang dimaksud dengan Uskup Roma?	uskup roma tuh apa?
662	Apa warna bendera Norwegia ?	bendera norwegia warnanya apa?
679	Apa itu Qere dan Ketiv?	qere sama ketiv itu apaan?
706	Siapakah yang membawa agama kristen masuk ke Indonesia?	yg bawa kristen masuk indonesia siapa?
713	apakah mata uang yang digunakan di Jerman ?	jerman pake mata uang apa sih?
736	Dimana wilayah kekuasaan Dinasti Utsmaniyah?	dinasti utsmaniyah kekuasaannya dimana aja?
746	Berapa luas Samudera Pasifik ?	samudera pasifik luasnya brp?
78	kapankah provinsi Bangka Belitung didirikan?	provinsi babel dibentuknya kapan?
79	Siapa yang memenangi balapan Formula 1 pertama ?	yg menang balapan F1 pertama siapa?
830	Berapa Luas kota Cirebon?	kota cirebon luasnya berapa ya?
849	apakah alasan Ghana Airways dihentikan?	knp ghana airways disetop?
919	Apakah yang dimaksud dengan frekuensi audio?	frekuensi audio itu apa sih?
