query_id	llm	llm_normalized	llm_lean	llm_lean_normalized
220	hewan tercepat di dunia tuh apa ya anjir gue penasaran	hewan tercepat di dunia itu apa ya anjir gue penasaran	hewan tercepat di dunia itu apa sih	hewan tercepat di dunia itu apa sih
2148	ilmu ekonomi pertama kali dipelajari kapan sih gaes	ilmu ekonomi pertama kali dipelajari kapan sih guys	ilmu ekonomi pertama dipelajari kapan sih	ilmu ekonomi pertama dipelajari kapan sih
21	dna itu siapa yg nemuin sih anjir	dna itu siapa yang menemukan sih anjir	dna ditemukan sama siapa sih	dna ditemukan sama siapa sih
2154	pemberontakan petani akhir dinasti sui disebabin apa sih kok	pemberontakan petani akhir dinasti sui disebabin apa sih kok	pemberontakan petani akhir dinasti sui knp sih	pemberontakan petani akhir dinasti sui kenapa sih
2161	jakarta raja ampat penerbangan brp lama ya cuy	jakarta raja ampat penerbangan berapa lama ya coy	jarak tempuh penerbangan jakarta raja ampat brp ya	jarak tempuh penerbangan jakarta raja ampat berapa ya
2262	zhangsun wuji nih lahir dimana sih gan	zhangsun wuji nih lahir dimana sih juragan	zhangsun wuji dilahirkan di mana sih	zhangsun wuji dilahirkan di mana sih
2233	tempat ibadah yahudi itu namanya apa sih cuy	tempat ibadah yahudi itu namanya apa sih coy	tempat ibadah yahudi namanya apa ya	tempat ibadah yahudi namanya apa ya
2965	candi cangkuang luas wilayahnya brp sih gan	candi cangkuang luas wilayahnya berapa sih juragan	candi cangkuang luasnya brp sih	candi cangkuang luasnya berapa sih
2898	tuak nira di Indonesia diproduksi dimana sih banyak di daerah mana nih	tuak nira di Indonesia diproduksi dimana sih banyak di daerah mana nih	tuak nira di indonesia diproduksi dimana sih	tuak nira di indonesia diproduksi dimana sih
2919	kekaisaran persia akhaimenia bahasanya apa sih ya	kekaisaran persia akhaimenia bahasanya apa sih ya	bahasa kekaisaran persia akhaimenia apa sih	bahasa kekaisaran persia akhaimenia apa sih
2843	albert einstein filsuf asalnya dari jerman gak ya gw penasaran	albert einstein filsuf asalnya dari jerman enggak ya gue penasaran	albert einstein filsuf berasal dari jerman sih	albert einstein filsuf berasal dari jerman sih
298	uskup itu maksudnya apa sih gan jelasin dikit dong	uskup itu maksudnya apa sih juragan jelaskan sedikit dong	uskup itu maksudnya apa sih	uskup itu maksudnya apa sih
3042	venezuela nih brp negara bagian nya ya penasaran cuy	venezuela nih berapa negara bagian nya ya penasaran coy	venezuela negara bagian brp gan	venezuela negara bagian berapa juragan
3046	transistor itu apaan sih gue masih belepotan nih jelasin dikit dong	transistor itu apaan sih gue masih berlepotan nih jelaskan sedikit dong	transistor itu apa sih	transistor itu apa sih
3071	maluku utara luasnya brp sih anjir	maluku utara luasnya berapa sih anjir	luas maluku utara brp sih	luas maluku utara berapa sih
2987	ilmu biologi mulai ditemukan kapan sih kok penasaran	ilmu biologi mulai ditemukan kapan sih kok penasaran	ilmu biologi ditemukan kapan sih	ilmu biologi ditemukan kapan sih
310	general electric transportation didirikan sama siapa gan	general electric transportation didirikan sama siapa juragan	General Electric Transportation pendirinya siapa ya	General Electric Transportation pendirinya siapa ya
3084	sungai nil dilintasi brp negara sih gue penasaran	sungai nil dilintasi berapa negara sih gue penasaran	sungai nil dilintasi brp negara sih	sungai nil dilintasi berapa negara sih
3212	italia jadi negara republik itu kapan sih gan	italia jadi negara republik itu kapan sih juragan	italia jadi negara republik kapan sih	italia jadi negara republik kapan sih
316	bilangan genap itu apa sih cuy	bilangan genap itu apa sih coy	bilangan genap ga sih	bilangan genap enggak sih
3110	partai politik pertama di indonesia itu partai apa sih nih	partai politik pertama di indonesia itu partai apa sih nih	partai politik pertama di Indonesia apa sih	partai politik pertama di Indonesia apa sih
3119	ngomong2 Korea Utara ibukota nya apa sih woy	ngomong ngomong Korea Utara ibu kota nya apa sih oi	ibukota korea utara apa ya	ibu kota korea utara apa ya
3121	pemasaran internasional beneran bisa bikin harga naik ga sih kok penasaran	pemasaran internasional benaran bisa bikin harga naik enggak sih kok penasaran	pemasaran internasional bisa sebabin kenaikan harga gak	pemasaran internasional bisa sebabin kenaikan harga enggak
3213	song jieun nih lahir di mana sih	song jieun nih lahir di mana sih	song jieun lahir dimana sih	song jieun lahir dimana sih
3227	dragon ball tokoh utama siapa sih anjir	dragon ball tokoh utama siapa sih anjir	tokoh utama dragon ball siapa nih	tokoh utama dragon ball siapa nih
3254	nama penyakit yg nyerang gandum apa sih	nama penyakit yang menyerang gandum apa sih	penyakit yg nyerang gandum nama apa sih	penyakit yang menyerang gandum nama apa sih
324	penegak hukum di Indonesia itu siapa aja sih anjir	penegak hukum di Indonesia itu siapa saja sih anjir	penegak hukum di indonesia siapa sih	penegak hukum di indonesia siapa sih
3406	kesultanan utsmaniyah itu didirikan kapan ya	kesultanan utsmaniyah itu didirikan kapan ya	kesultanan utsmaniyah didirikan kapan nih	kesultanan utsmaniyah didirikan kapan nih
3273	sarkoma kaposi itu pertama dicatat taun brp sama moritz kaposi sih	sarkoma kaposi itu pertama dicatat tahun berapa sama moritz kaposi sih	moritz kaposi nemuin sarkoma kaposi tahun brp ya	moritz kaposi menemukan sarkoma kaposi tahun berapa ya
3472	hari pancasila diperingatin kapan sih gan	hari pancasila diperingatkan kapan sih juragan	hari pancasila diperingati kapan ya	hari pancasila diperingati kapan ya
3452	ki tjokrowasito itu siapa sih gue penasaran nih woy	ki tjokrowasito itu siapa sih gue penasaran nih oi	siapa sih ki tjokrowasito	siapa sih ki tjokrowasito
358	siaran tv tertua di Indonesia itu apa ya sih	siaran televisi tertua di Indonesia itu apa ya sih	siaran tv tertua di Indonesia apa sih	siaran televisi tertua di Indonesia apa sih
361	enzim restriksi bersifat asam ga sih kok penasaran	enzim restriksi bersifat asam enggak sih kok penasaran	enzim restriksi bersifat asam sih	enzim restriksi bersifat asam sih
3609	harry potter punya brp sekuel sih gaes penasaran	harry potter punya berapa sekuel sih guys penasaran	sekuel harry potter brp cuy	sekuel harry potter berapa coy
3616	ritus suriah timur tuh dilaksanain kapan sih anjir	ritus suriah timur itu dilaksanain kapan sih anjir	ritus suriah timur dilakuin kapan ya	ritus suriah timur dilakukan kapan ya
3620	bahasa Yunani nih beneran bahasa tertua di dunia ga sih anjir	bahasa Yunani nih benaran bahasa tertua di dunia enggak sih anjir	bahasa yunani tertua di dunia ga sih	bahasa yunani tertua di dunia enggak sih
3482	seni modern siapa yg mulai sih penasaran nih	seni modern siapa yang mulai sih penasaran nih	seni modern dimulai sama siapa sih	seni modern dimulai sama siapa sih
3662	hari kemerdekaan ukraina tuh kapan sih	hari kemerdekaan ukraina itu kapan sih	hari kemerdekaan Ukraina kapan	hari kemerdekaan Ukraina kapan
3696	bendera india warnanya apa sih cuy	bendera india warnanya apa sih coy	warna bendera india apa sih	warna bendera india apa sih
367	soal hadist pengertian hadist itu apa sih anjir	soal hadis pengertian hadis itu apa sih anjir	hadist pengertiannya apa sih	hadis pengertiannya apa sih
3731	kabupaten klungkung luasnya brp sih anjir	kabupaten klungkung luasnya berapa sih anjir	luas kabupaten klungkung brp ya	luas kabupaten klungkung berapa ya
3779	tabel periodik nih fungsinya apa sih sama isinya ngapain ya	tabel periodik nih fungsinya apa sih sama isinya mengapai ya	tabel periodik tu maksudnya apa sih	tabel periodik itu maksudnya apa sih
389	nih ngomongin ilmu Astronomi lo pada ngerti ga ilmu Astronomi itu maksudnya apa sih	nih mengomongkan ilmu Astronomi kamu pada mengerti enggak ilmu Astronomi itu maksudnya apa sih	ilmu astronomi pengertiannya apa sih	ilmu astronomi pengertiannya apa sih
3787	dr moewardi lulus dari stovia kapan sih	dari moewardi lulus dari stovia kapan sih	dr moewardi lulus dari STOVIA kapan sih	dari moewardi lulus dari STOVIA kapan sih
3917	majalah bobo pendirinya siapa sih anjir pengen tau nih	majalah tidur pendirinya siapa sih anjir pengin tau nih	pendiri majalah bobo siapa sih	pendiri majalah tidur siapa sih
3767	atom nih yg dimaksud itu apa sih	atom nih yang dimaksud itu apa sih	atom maksudnya apa sih	atom maksudnya apa sih
3892	karotenoid itu sebenernya apaan sih jelasin dikit dong	karotenoid itu sebenarnya apaan sih jelaskan sedikit dong	karotenoid itu maksudnya apa sih	karotenoid itu maksudnya apa sih
3969	Bolesław I Chrobry nih ibu dia siapa sih	Bolesław I Chrobry nih ibu dia siapa sih	ibu bolesław i chrobry siapa ya	ibu bolesław i chrobry siapa ya
3992	vietnam ibukota nya apa sih	vietnam ibu kota nya apa sih	ibukota Vietnam apa ya	ibu kota Vietnam apa ya
3930	penasaran soal roket nih siapa pencipta roket pertama kali sih anjir	penasaran soal roket nih siapa pencipta roket pertama kali sih anjir	pencipta roket pertama kali siapa sih	pencipta roket pertama kali siapa sih
4031	the police vokalisnya siapa sih	the police vokalisnya siapa sih	vokalis the police siapa woy	vokalis the police siapa oi
3984	alamat ip nih pertama kali dikenalin ke komputer kapan sih	alamat ip nih pertama kali dikenalin ke komputer kapan sih	alamat ip pertama kali diperkenalkan di komputer kapan sih	alamat ip pertama kali diperkenalkan di komputer kapan sih
4254	internet itu sebenernya ditemukan kapan sih anjir	internet itu sebenarnya ditemukan kapan sih anjir	internet ditemukan kapan dong	internet ditemukan kapan dong
4168	atom itu pertama kali ditemukan kapan sih anjir	atom itu pertama kali ditemukan kapan sih anjir	atom ditemukan kapan sih	atom ditemukan kapan sih
4217	republik ghana luasnya brp ya anjir	republik ghana luasnya berapa ya anjir	Republik Ghana luas brp sih	Republik Ghana luas berapa sih
4183	samaun bakri asalnya dari mana nih sih	samaun bakri asalnya dari mana nih sih	Samaun Bakri berasal dari mana ya	Samaun Bakri berasal dari mana ya
4198	kabupaten kepulauan meranti luasnya brp dong	kabupaten kepulauan meranti luasnya berapa dong	kabupaten kepulauan meranti luas brp sih	kabupaten kepulauan meranti luas berapa sih
4232	orang minangkabau anut agama apa sih	orang minangkabau anut agama apa sih	org minangkabau anut agama apa sih	orang minangkabau anut agama apa sih
4332	jepang luasnya brp sih	jepang luasnya berapa sih	luas Jepang brp sih	luas Jepang berapa sih
4387	kabupaten trenggalek luasnya brp sih cuy	kabupaten trenggalek luasnya berapa sih coy	kabupaten trenggalek luas brp sih	kabupaten trenggalek luas berapa sih
4358	proyek soi asia itu siapa aja sih yg terlibat nih cuy	proyek soi asia itu siapa saja sih yang terlibat nih coy	siapa aja yg terlibat proyek SOI ASIA sih	siapa saja yang terlibat proyek SOI ASIA sih
4574	kekhalifahan abbasiyah pemimpin pertamanya siapa sih	kekhalifahan abbasiyah pemimpin pertamanya siapa sih	Kekhalifahan Abbasiyah pemimpin pertama siapa sih	Kekhalifahan Abbasiyah pemimpin pertama siapa sih
4589	nih ordo mendikan itu maksudnya apa sih gaes bingung anjir	nih ordo mendikan itu maksudnya apa sih guys bingung anjir	ordo mendikan maksudnya apa sih	ordo mendikan maksudnya apa sih
4436	filipina luasnya brp sih kepo anjir	filipina luasnya berapa sih ingin tahu anjir	Filipina luasnya brp sih	Filipina luasnya berapa sih
4362	luar angkasa nih negara mana yg pertama kali ngirim satelit sih	luar angkasa nih negara mana yang pertama kali mengirim satelit sih	satelit ke luar angkasa pertama dikirim negara mana nih	satelit ke luar angkasa pertama dikirim negara mana nih
4600	joko widodo anaknya ada brp sih	joko widodo anaknya ada berapa sih	joko widodo punya anak brp nih	joko widodo punya anak berapa nih
4608	yunani mata uangnya apa ya cuy	yunani mata uangnya apa ya coy	mata uang yg dipakai di Yunani apa ya	mata uang yang dipakai di Yunani apa ya
4603	kampanye guadalkanal itu kejadian dimana ya gan	kampanye guadalkanal itu kejadian dimana ya juragan	kampanye Guadalkanal terjadi dimana sih	kampanye Guadalkanal terjadi dimana sih
4779	australia ibukotanya apa nih gan	australia ibukotanya apa nih juragan	ibukota australia nama apa ya	ibu kota australia nama apa ya
4690	molekul nih maksudnya apa sih gak ngerti banget	molekul nih maksudnya apa sih enggak mengerti banget	molekul itu maksudnya apa sih	molekul itu maksudnya apa sih
4677	istana osaka kapan didirikan sih	istana osaka kapan didirikan sih	istana osaka didirikan kapan sih	istana osaka didirikan kapan sih
4701	kekaisaran romawi timur runtuh taun brp nih	kekaisaran romawi timur runtuh tahun berapa nih	kekaisaran romawi timur runtuh taun brp sih	kekaisaran romawi timur runtuh tahun berapa sih
4733	tempat peribadatan agama buddha tu namanya apa sih cuy	tempat peribadatan agama buddha itu namanya apa sih coy	tempat peribadatan agama Buddha namanya apa sih	tempat peribadatan agama Buddha namanya apa sih
4797	gerakan angkatan muda kristen indonesia didirikan kapan ya penasaran nih	gerakan angkatan muda kristen indonesia didirikan kapan ya penasaran nih	gerakan angkatan muda kristen indonesia didirikan kapan sih	gerakan angkatan muda kristen indonesia didirikan kapan sih
4889	tolitoli luas wilayahnya brp sih anjir	tolitoli luas wilayahnya berapa sih anjir	luas wilayah Tolitoli brp ya	luas wilayah Tolitoli berapa ya
4919	luas Jambi sebenernya brp sih gan	luas Jambi sebenarnya berapa sih juragan	luas jambi brp gan	luas jambi berapa juragan
4816	bayezid i lahir kapan sih	bayezid i lahir kapan sih	bayezid I lahir kapan sih	bayezid I lahir kapan sih
5003	sinar harapan kantornya ada di mana sih gan	sinar harapan kantornya ada di mana sih juragan	kantor pusat sinar harapan ada dimana nih	kantor pusat sinar harapan ada dimana nih
5253	Imagawa Yoshimoto tuh meninggal kapan ya	Imagawa Yoshimoto itu meninggal kapan ya	kapan Imagawa Yoshimoto meninggal sih	kapan Imagawa Yoshimoto meninggal sih
4962	minamoto no yoritomo meninggal kapan ya kok kepo nih	minamoto no yoritomo meninggal kapan ya kok ingin tahu nih	minamoto no yoritomo meninggal kapan sih	minamoto no yoritomo meninggal kapan sih
5210	di Afganistan bahasa apa yg paling banyak dipake ya cuy	di Afganistan bahasa apa yang paling banyak dipakai ya coy	bahasa yg paling banyak dipakai di Afganistan apa ya	bahasa yang paling banyak dipakai di Afganistan apa ya
506	maluku utara nih luasnya brp ya gue blom hapal dong	maluku utara nih luasnya berapa ya gue belum hafal dong	Maluku Utara luasnya brp nih	Maluku Utara luasnya berapa nih
5245	bahasa sanskerta dipake paling banyak di negara mana ya gan	bahasa sanskerta dipakai paling banyak di negara mana ya juragan	bahasa sanskerta dipakai paling banyak di negara mana ya	bahasa sanskerta dipakai paling banyak di negara mana ya
5286	pondok pesantren pabelan itu didirikan siapa ya anjir	pondok pesantren pabelan itu didirikan siapa ya anjir	pondok pesantren pabelan didirikan siapa sih	pondok pesantren pabelan didirikan siapa sih
5370	toy story yang pertama dirilis kapan sih gan	toy cerita yang pertama dirilis kapan sih juragan	toy story pertama rilis kapan nih	toy cerita pertama rilis kapan nih
5352	serial drama prison break ada brp season sih penasaran	serial drama prison break ada berapa season sih penasaran	serial drama prison break ada brp season sih	serial drama prison break ada berapa season sih
5278	nomor atom Karbon brp sih anjir	nomor atom Karbon berapa sih anjir	nomor atom karbon brp sih	nomor atom karbon berapa sih
5557	jamur shiitake asalnya dari mana sih nih	jamur shiitake asalnya dari mana sih nih	jamur shiitake asalnya dari mana sih	jamur shiitake asalnya dari mana sih
555	aroma bahan koktail asalnya dari buah apa nih gaes	aroma bahan koktail asalnya dari buah apa nih guys	aroma bahan koktail asalnya dari buah ga	aroma bahan koktail asalnya dari buah enggak
5503	suku anak dalam tinggal dimana sih di indonesia kok penasaran	suku anak dalam tinggal dimana sih di indonesia kok penasaran	suku anak dalam letaknya dimana nih	suku anak dalam letaknya dimana nih
559	swa didirikan taun brp sih anjir	swa didirikan tahun berapa sih anjir	swa didirikan taun brp sih	swa didirikan tahun berapa sih
5567	kabupaten brebes jawa tengah luasnya brp ya gaes	kabupaten brebes jawa tengah luasnya berapa ya guys	luas kabupaten brebes jawa tengah brp ya	luas kabupaten brebes jawa tengah berapa ya
5583	gereja tertua di dunia nih letaknya di mana ya anjir	gereja tertua di dunia nih letaknya di mana ya anjir	gereja tertua di dunia letaknya dimana sih	gereja tertua di dunia letaknya dimana sih
5372	filsuf itu sebenernya apa sih gue penasaran	filsuf itu sebenarnya apa sih gue penasaran	seorang filsuf itu pengertian apa sih	seorang filsuf itu pengertian apa sih
5586	negara terkecil di eropa namanya apa nih gan	negara terkecil di eropa namanya apa nih juragan	negara terkecil di eropa nama apa sih	negara terkecil di eropa nama apa sih
5706	serial Transformers penciptanya siapa sih	serial Transformers penciptanya siapa sih	pencipta serial Transformers siapa sih	pencipta serial Transformers siapa sih
568	sultan mansur syah nih ayahnya siapa sih	sultan mansur syah nih ayahnya siapa sih	sultan mansur syah ayahnya siapa sih	sultan mansur syah ayahnya siapa sih
5811	mesir sistem pemerintahan kayak gimana sih anjir	mesir sistem pemerintahan kayak bagaimana sih anjir	sistem pemerintahan mesir gimana sih	sistem pemerintahan mesir bagaimana sih
5719	turbo nih karya pertama mereka apa sih dong	turbo nih karya pertama mereka apa sih dong	karya pertama dari turbo apa dong	karya pertama dari turbo apa dong
5971	bilangan pecahan itu sebenernya apaan sih gue masih bingung nih	bilangan pecahan itu sebenarnya apaan sih gue masih bingung nih	bilangan pecahan apa sih	bilangan pecahan apa sih
5861	logaritma nih gue masih bingung itu sebenernya apaan sih	logaritma nih gue masih bingung itu sebenarnya apaan sih	logaritma itu apa sih	logaritma itu apa sih
6021	tembok berlin dibangun kapan sih gw penasaran	tembok berlin dibangun kapan sih gue penasaran	tembok berlin dibangun kapan ya	tembok berlin dibangun kapan ya
5980	kabupaten kolaka utara luasnya brp sih mau masukin di laporan	kabupaten kolaka utara luasnya berapa sih mau memasuki di laporan	luas kabupaten kolaka utara brp dong	luas kabupaten kolaka utara berapa dong
60	paus benediktus xv lahir kapan sih anjir	paus benediktus xv lahir kapan sih anjir	paus benediktus xv lahir kapan ya	paus benediktus xv lahir kapan ya
6085	orang orang Majus itu siapa sebenernya asalnya dari mana sih	orang orang Majus itu siapa sebenarnya asalnya dari mana sih	orang-orang majus itu siapa sih	orang - orang majus itu siapa sih
6087	nih pertanyaan fisika cahaya tuh beneran lebih cepet dari suara gak sih	nih pertanyaan fisika cahaya itu benaran lebih cepat dari suara enggak sih	cahaya lebih cepat dari suara ga	cahaya lebih cepat dari suara enggak
6052	kristen di indonesia taun 2010 populasinya brp nih	kristen di indonesia tahun 2010 populasinya berapa nih	populasi penganut kristen di indonesia 2010 brp ya	populasi penganut kristen di indonesia 2010 berapa ya
662	bendera norwegia warnanya apa ya	bendera norwegia warnanya apa ya	bendera norwegia warnanya apa sih	bendera norwegia warnanya apa sih
613	gereja katolik nih yg dimaksud sama istilah uskup roma itu apaan sih	gereja katolik nih yang dimaksud sama istilah uskup roma itu apaan sih	uskup roma maksudnya apa sih	uskup roma maksudnya apa sih
679	qere dan ketiv itu sebenernya apa sih gaes pengen tau	qere dan ketiv itu sebenarnya apa sih guys pengin tau	qere dan ketiv itu apa sih	qere dan ketiv itu apa sih
746	samudera pasifik luasnya brp sih anjir	samudera pasifik luasnya berapa sih anjir	luas samudera pasifik brp sih	luas samudera pasifik berapa sih
713	jerman pake mata uang apa sih anjir	jerman pakai mata uang apa sih anjir	mata uang yg dipakai di Jerman apa sih	mata uang yang dipakai di Jerman apa sih
567	d afonso henriques lahir kapan sih taun brp nih	di afonso henriques lahir kapan sih tahun berapa nih	d afonso henriques lahir kapan ya	di afonso henriques lahir kapan ya
706	agama kristen masuk ke Indonesia itu siapa yg bawa sih kok	agama kristen masuk ke Indonesia itu siapa yang bawa sih kok	siapa yg bawa agama kristen masuk ke indonesia sih	siapa yang bawa agama kristen masuk ke indonesia sih
830	kota Cirebon luasnya brp sih cuy	kota Cirebon luasnya berapa sih coy	luas kota Cirebon brp ya	luas kota Cirebon berapa ya
736	dinasti utsmaniyah kuasanya di mana sih anjir	dinasti utsmaniyah kuasanya di mana sih anjir	wilayah kekuasaan dinasti utsmaniyah dimana sih	wilayah kekuasaan dinasti utsmaniyah dimana sih
849	ghana airways nih kenapa sampe dihentikan ya anjir	ghana airways nih kenapa sampai dihentikan ya anjir	ghana airways dihentikan alasannya apa sih	ghana airways dihentikan alasannya apa sih
919	frekuensi audio itu apa sih gue penasaran nih	frekuensi audio itu apa sih gue penasaran nih	frekuensi audio itu maksudnya apa sih	frekuensi audio itu maksudnya apa sih
78	provinsi Bangka Belitung resmi dibentuk kapan sih anjir	provinsi Bangka Belitung resmi dibentuk kapan sih anjir	provinsi Bangka Belitung didirikan kapan sih	provinsi Bangka Belitung didirikan kapan sih
79	balapan formula 1 pertama dimenangin siapa ya cuy	balapan formula 1 pertama dimenangin siapa ya coy	balapan formula 1 pertama dimenangi siapa sih	balapan formula 1 pertama dimenangi siapa sih
