query_id,cosine,formal,llm
3969,0.9060,Siapa ibu Bolesław I Chrobry?,Bolesław I Chrobry nih ibu dia siapa sih
2188,0.9077,Apakah jabatan Prof. Dr. Johannes Baptista Sumarlin?,prof dr johannes baptista sumarlin jabatannya apa ya gan
220,0.9077,apakah hewan tercepat di dunia?,hewan tercepat di dunia tuh apa ya anjir gue penasaran
361,0.9078,Apakah Enzim restriksi bersifat asam?,enzim restriksi bersifat asam ga sih kok penasaran
5003,0.9086,dimanakah kantor pusat Sinar Harapan?,sinar harapan kantornya ada di mana sih gan
1082,0.9088,Berapa populasi pemeluk agama islam di Indonesi tahun 2010?,tahun 2010 populasi pemeluk agama islam di indonesia brp sih anjir
316,0.9122,Apakah bilangan genap?,bilangan genap itu apa sih cuy
4797,0.9131,Kapan Gerakan Angkatan Muda Kristen Indonesia didirikan?,gerakan angkatan muda kristen indonesia didirikan kapan ya penasaran nih
5567,0.9136,berapakah luas Kabupaten Brebes Jawa Tengah?,kabupaten brebes jawa tengah luasnya brp ya gaes
4733,0.9137,Apakah nama tempat peribadatan agama Buddha?,tempat peribadatan agama buddha tu namanya apa sih cuy
1158,0.9139,berapakah jumlah Pahlawan Nasional di Indonesia?,pahlawan nasional di indonesia jumlah brp ya kok
3767,0.9143,apakah yang di maksud dengan atom?,atom nih yg dimaksud itu apa sih
1266,0.9150,Siapa itu para samurai ?,para samurai itu siapa sih anjir
5352,0.9157,Ada berapa season serial drama Prison Break?,serial drama prison break ada brp season sih penasaran
1450,0.9157,Kapan Jagatara Oharu lahir?,jagatara oharu lahir kapan sih gan
4217,0.9162,Berapa luas Republik Ghana?,republik ghana luasnya brp ya anjir
6085,0.9170,Siapa yang dimaksud dengan orang-orang Majus ?,orang orang Majus itu siapa sebenernya asalnya dari mana sih
4779,0.9195,apakah nama ibukota Australia?,australia ibukotanya apa nih gan
555,0.9202,Apakah aroma bahan dari koktail berasal dari buah ?,aroma bahan koktail asalnya dari buah apa nih gaes
2843,0.9218,Apakah Albert Einstein‎ filsuf berasal dari Jerman?,albert einstein filsuf asalnya dari jerman gak ya gw penasaran
4387,0.9220,berapakah luas Kabupaten Trenggalek?,kabupaten trenggalek luasnya brp sih cuy
5286,0.9226,Siapakah yang mendirikan Pondok Pesantren Pabelan?,pondok pesantren pabelan itu didirikan siapa ya anjir
5586,0.9236,Apa nama negara terkecil di Eropa?,negara terkecil di eropa namanya apa nih gan
3227,0.9237,Siapakah tokoh utama dalam Dragon Ball ?,dragon ball tokoh utama siapa sih anjir
3662,0.9244,Kapankah hari kemerdekaan Ukraina?,hari kemerdekaan ukraina tuh kapan sih
5278,0.9255,Apa nomor atom Karbon?,nomor atom Karbon brp sih anjir
1858,0.9256,Berapa luas Kabupaten Bangka Selatan?,kabupaten bangka selatan luasnya brp ya gan
3254,0.9257,Apakah nama penyakit yang menyerang Gandum?,nama penyakit yg nyerang gandum apa sih
5210,0.9301,bahasa apakah yang paling banyak digunakan di Afganistan?,di Afganistan bahasa apa yg paling banyak dipake ya cuy
79,0.9302,Siapa yang memenangi balapan Formula 1 pertama ?,balapan formula 1 pertama dimenangin siapa ya cuy
3696,0.9303,Apa warna bendera India ?,bendera india warnanya apa sih cuy
4168,0.9343,Kapan atom ditemukan ?,atom itu pertama kali ditemukan kapan sih anjir
706,0.9370,Siapakah yang membawa agama kristen masuk ke Indonesia?,agama kristen masuk ke Indonesia itu siapa yg bawa sih kok
310,0.9375,Siapa pendiri General Electric Transportation?,general electric transportation didirikan sama siapa gan
5245,0.9386,negara manakah yang paling banyak menggunakan Bahasa Sanskerta?,bahasa sanskerta dipake paling banyak di negara mana ya gan
5557,0.9413,dari manakah asal jamur Shiitake?,jamur shiitake asalnya dari mana sih nih
2987,0.9428,Kapan ilmu biologi ditemukan ?,ilmu biologi mulai ditemukan kapan sih kok penasaran
5253,0.9480,Kapan Imagawa Yoshimoto meninggal ?,Imagawa Yoshimoto tuh meninggal kapan ya
5370,0.9502,kapankah Toy Story pertama dirilis?,toy story yang pertama dirilis kapan sih gan
1407,0.9503,kapankah internet di ciptakan?,internet itu diciptakan kapan sih anjir
1130,0.9506,Apa penyebab kematian Mgr. Arnold Verstraelen ?,mgr. arnold verstraelen meninggal karena apa sih
2148,0.9512,Kapan ilmu ekonomi pertama dipelajari?,ilmu ekonomi pertama kali dipelajari kapan sih gaes
4816,0.9524,Kapan Bayezid I lahir ?,bayezid i lahir kapan sih
4574,0.9532,Siapa pemimpin pertama Kekhalifahan Abbasiyah?,kekhalifahan abbasiyah pemimpin pertamanya siapa sih
3406,0.9556,kapankah Kesultanan Utsmaniyah didirikan?,kesultanan utsmaniyah itu didirikan kapan ya
3787,0.9580,Kapan Dr. Moewardi lulus dari STOVIA?,dr moewardi lulus dari stovia kapan sih
19,0.9582,Apakah karya tulis Irma Hardisurya yang pertama?,karya tulis pertama irma hardisurya itu apa sih
1410,0.9587,Kapan hari kemerdekaan Republik Albania?,republik albania hari kemerdekaan kapan sih
1905,0.9676,Kapan Australia diperingati di Selandia Baru?,Australia diperingati di Selandia Baru itu kapan sih
3110,0.9680,Apa partai politik pertama di Indonesia ?,partai politik pertama di indonesia itu partai apa sih nih
3992,0.9697,Apakah ibukota Vietnam?,vietnam ibukota nya apa sih
662,0.9705,Apa warna bendera Norwegia ?,bendera norwegia warnanya apa ya
2919,0.9726,Apakah bahasa Kekaisaran Persia Akhaimenia?,kekaisaran persia akhaimenia bahasanya apa sih ya
4031,0.9739,Siapakah vokalis dari grup The Police?,the police vokalisnya siapa sih
358,0.9833,apakah siaran TV tertua di Indonesia?,siaran tv tertua di Indonesia itu apa ya sih
5706,0.9835,siapakah pencipta serial Transformers?,serial Transformers penciptanya siapa sih
1725,0.9874,Apakah nama alat komunikasi sebelum ditemukannya telepon ?,alat komunikasi sebelum ditemukannya telepon itu namanya apa sih
