query_id,cosine,formal,llm_lean
3620,0.9156,apakah bahasa Yunani adalah bahasa tertua di dunia?,bahasa yunani tertua di dunia ga sih
203,0.9163,Apakah yang dimaksud dengan norma hukum?,norma hukum itu yg dimaksud apa sih
5352,0.9175,Ada berapa season serial drama Prison Break?,serial drama prison break ada brp season sih
1088,0.9189,Di kendaraan apakah dapat ditemukan mesin pembakaran dalam?,kendaraan yg punya mesin pembakaran dalam apa aja sih
4031,0.9191,Siapakah vokalis dari grup The Police?,vokalis the police siapa woy
3254,0.9206,Apakah nama penyakit yang menyerang Gandum?,penyakit yg nyerang gandum nama apa sih
4183,0.9206,Dari mana Samaun Bakri berasal ?,Samaun Bakri berasal dari mana ya
4332,0.9219,berapakah luas Jepang ?,luas Jepang brp sih
1006,0.9245,Apa yang dimaksud dengan Artefak ?,artefak itu maksudnya apa sih
3731,0.9249,Berapa luas Kabupaten Klungkung?,luas kabupaten klungkung brp ya
4387,0.9254,berapakah luas Kabupaten Trenggalek?,kabupaten trenggalek luas brp sih
3472,0.9255,Kapankah hari pancasila diperingati ?,hari pancasila diperingati kapan ya
1116,0.9257,berapakah luas  Jepang ?,luas Jepang brp ya
1769,0.9257,Apa penyebab menstruasi?,menstruasi knp terjadi sih
746,0.9260,Berapa luas Samudera Pasifik ?,luas samudera pasifik brp sih
3452,0.9280,Siapakah Ki Tjokrowasito?,siapa sih ki tjokrowasito
3892,0.9287,Apa yang dimaksud dengan Karotenoid ?,karotenoid itu maksudnya apa sih
3212,0.9306,Kapan Italia menjadi negara Republik ?,italia jadi negara republik kapan sih
3969,0.9311,Siapa ibu Bolesław I Chrobry?,ibu bolesław i chrobry siapa ya
1858,0.9318,Berapa luas Kabupaten Bangka Selatan?,kabupaten bangka selatan luasnya brp ya
2001,0.9346,Apa yang dimaksud dengan hewab amfibi?,hewab amfibi maksudnya apa sih
4254,0.9362,Kapan internet ditemukan ?,internet ditemukan kapan dong
5567,0.9375,berapakah luas Kabupaten Brebes Jawa Tengah?,luas kabupaten brebes jawa tengah brp ya
5811,0.9375,Bagaimankah sistem pemerintahan Mesir?,sistem pemerintahan mesir gimana sih
555,0.9377,Apakah aroma bahan dari koktail berasal dari buah ?,aroma bahan koktail asalnya dari buah ga
5971,0.9388,Apa itu bilangan pecahan?,bilangan pecahan apa sih
679,0.9402,Apa itu Qere dan Ketiv?,qere dan ketiv itu apa sih
5370,0.9418,kapankah Toy Story pertama dirilis?,toy story pertama rilis kapan nih
3213,0.9420,Dimana Song Jieun lahir ?,song jieun lahir dimana sih
2161,0.9420,Berapa lama jarak tempuh penerbangan Jakarta-Raja Ampat ?,jarak tempuh penerbangan jakarta raja ampat brp ya
4589,0.9431,Apakah yang dimaksud dengan Ordo mendikan?,ordo mendikan maksudnya apa sih
613,0.9443,Apa yang dimaksud dengan Uskup Roma?,uskup roma maksudnya apa sih
5719,0.9455,Apakah karya pertama dari Turbo ?,karya pertama dari turbo apa dong
3119,0.9455,apakah ibukota  Korea Utara?,ibukota korea utara apa ya
2843,0.9457,Apakah Albert Einstein‎ filsuf berasal dari Jerman?,albert einstein filsuf berasal dari jerman sih
1911,0.9469,Apakah pengertian DNA ?,dna itu pengertian apa sih
1905,0.9469,Kapan Australia diperingati di Selandia Baru?,australia diperingati di selandia baru kapan ya
1130,0.9476,Apa penyebab kematian Mgr. Arnold Verstraelen ?,kenapa meninggalnya mgr arnold verstraelen sih
706,0.9489,Siapakah yang membawa agama kristen masuk ke Indonesia?,siapa yg bawa agama kristen masuk ke indonesia sih
361,0.9504,Apakah Enzim restriksi bersifat asam?,enzim restriksi bersifat asam sih
568,0.9512,siapakah ayah dari Sultan Mansur Syah?,sultan mansur syah ayahnya siapa sih
1158,0.9521,berapakah jumlah Pahlawan Nasional di Indonesia?,jumlah pahlawan nasional di Indonesia brp ya
849,0.9524,apakah alasan Ghana Airways dihentikan?,ghana airways dihentikan alasannya apa sih
4889,0.9532,Berapakah luas wilayah Tolitoli?,luas wilayah Tolitoli brp ya
4168,0.9534,Kapan atom ditemukan ?,atom ditemukan kapan sih
3482,0.9538,siapakah yang memulai Seni modern?,seni modern dimulai sama siapa sih
1239,0.9541,Apakah smartphone adalah telepon genggam?,smartphone itu telepon genggam gak sih
5003,0.9548,dimanakah kantor pusat Sinar Harapan?,kantor pusat sinar harapan ada dimana nih
830,0.9552,Berapa Luas kota Cirebon?,luas kota Cirebon brp ya
3917,0.9552,siapakah pendiri Majalah Bobo?,pendiri majalah bobo siapa sih
6087,0.9556,apakah cahaya lebih cepat dari suara?,cahaya lebih cepat dari suara ga
298,0.9567,apakah yang di maksud dengan uskup?,uskup itu maksudnya apa sih
2898,0.9570,Dimana Tuak nira diproduksi di Indonesia?,tuak nira di indonesia diproduksi dimana sih
4362,0.9573,Negara manakah yang pertama kali mengirim satelit ke luar angkasa ?,satelit ke luar angkasa pertama dikirim negara mana nih
1725,0.9574,Apakah nama alat komunikasi sebelum ditemukannya telepon ?,alat komunikasi sebelum telepon namanya apa sih
1854,0.9576,Siapakah yang dikenal sebagai bapak ekonomi ?,siapa yg dikenal sebagai bapak ekonomi sih
4603,0.9589,dimanakah Kampanye Guadalkanal terjadi?,kampanye Guadalkanal terjadi dimana sih
4797,0.9610,Kapan Gerakan Angkatan Muda Kristen Indonesia didirikan?,gerakan angkatan muda kristen indonesia didirikan kapan sih
713,0.9611,apakah mata uang yang digunakan di Jerman ?,mata uang yg dipakai di Jerman apa sih
1410,0.9620,Kapan hari kemerdekaan Republik Albania?,hari kemerdekaan republik albania kapan sih
3406,0.9629,kapankah Kesultanan Utsmaniyah didirikan?,kesultanan utsmaniyah didirikan kapan nih
736,0.9630,Dimana wilayah kekuasaan Dinasti Utsmaniyah?,wilayah kekuasaan dinasti utsmaniyah dimana sih
5245,0.9650,negara manakah yang paling banyak menggunakan Bahasa Sanskerta?,bahasa sanskerta dipakai paling banyak di negara mana ya
2233,0.9660,Apakah nama tempat ibadah Yahudi ?,tempat ibadah yahudi namanya apa ya
4816,0.9676,Kapan Bayezid I lahir ?,bayezid I lahir kapan sih
389,0.9683,Apa pengertian ilmu Astronomi ?,ilmu astronomi pengertiannya apa sih
6021,0.9683,Kapankah tembok berlin dibangun ?,tembok berlin dibangun kapan ya
324,0.9687,Siapakah penegak hukum di Indonesia?,penegak hukum di indonesia siapa sih
5583,0.9693,dimanakah letak Gereja tertua di dunia?,gereja tertua di dunia letaknya dimana sih
4608,0.9695,apakah mata uang yang digunakan di Yunani?,mata uang yg dipakai di Yunani apa ya
2987,0.9696,Kapan ilmu biologi ditemukan ?,ilmu biologi ditemukan kapan sih
3992,0.9699,Apakah ibukota Vietnam?,ibukota Vietnam apa ya
1252,0.9699,Dimana letak masjid Istiqlal?,masjid istiqlal letaknya dimana ya
4779,0.9702,apakah nama ibukota Australia?,ibukota australia nama apa ya
2035,0.9706,Apa makna dari gelar Adipati ?,gelar adipati maknanya apa sih
19,0.9707,Apakah karya tulis Irma Hardisurya yang pertama?,karya tulis Irma Hardisurya yg pertama apa sih
2919,0.9708,Apakah bahasa Kekaisaran Persia Akhaimenia?,bahasa kekaisaran persia akhaimenia apa sih
5286,0.9710,Siapakah yang mendirikan Pondok Pesantren Pabelan?,pondok pesantren pabelan didirikan siapa sih
3227,0.9710,Siapakah tokoh utama dalam Dragon Ball ?,tokoh utama dragon ball siapa nih
6052,0.9713,Berapa populasi penganut kristen di Indonesia tahun 2010 ?,populasi penganut kristen di indonesia 2010 brp ya
662,0.9717,Apa warna bendera Norwegia ?,bendera norwegia warnanya apa sih
79,0.9719,Siapa yang memenangi balapan Formula 1 pertama ?,balapan formula 1 pertama dimenangi siapa sih
367,0.9722,Apakah pengertian dari hadist ?,hadist pengertiannya apa sih
919,0.9723,Apakah yang dimaksud dengan frekuensi audio?,frekuensi audio itu maksudnya apa sih
3696,0.9729,Apa warna bendera India ?,warna bendera india apa sih
5861,0.9730,Apa itu logaritma?,logaritma itu apa sih
3046,0.9734,Apa itu transistor?,transistor itu apa sih
1266,0.9736,Siapa itu para samurai ?,para samurai itu siapa sih
1913,0.9746,Apa itu Wrekodara?,wrekodara itu apa sih
3787,0.9749,Kapan Dr. Moewardi lulus dari STOVIA?,dr moewardi lulus dari STOVIA kapan sih
3984,0.9759,kapankah  Alamat IP pertama kali diperkenalkan pada komputer?,alamat ip pertama kali diperkenalkan di komputer kapan sih
3767,0.9767,apakah yang di maksud dengan atom?,atom maksudnya apa sih
3662,0.9771,Kapankah hari kemerdekaan Ukraina?,hari kemerdekaan Ukraina kapan
4962,0.9777,Kapan Minamoto no Yoritomo meninggal?,minamoto no yoritomo meninggal kapan sih
5586,0.9778,Apa nama negara terkecil di Eropa?,negara terkecil di eropa nama apa sih
310,0.9781,Siapa pendiri General Electric Transportation?,General Electric Transportation pendirinya siapa ya
2262,0.9782,dimankah Zhangsun Wuji dilahirkan?,zhangsun wuji dilahirkan di mana sih
5372,0.9801,Apa pengertian dari seorang filsuf ?,seorang filsuf itu pengertian apa sih
358,0.9812,apakah siaran TV tertua di Indonesia?,siaran tv tertua di Indonesia apa sih
2148,0.9825,Kapan ilmu ekonomi pertama dipelajari?,ilmu ekonomi pertama dipelajari kapan sih
1956,0.9825,apakah minuman beralkohol khas Rusia?,minuman beralkohol khas rusia apa sih
4733,0.9831,Apakah nama tempat peribadatan agama Buddha?,tempat peribadatan agama Buddha namanya apa sih
5557,0.9837,dari manakah asal jamur Shiitake?,jamur shiitake asalnya dari mana sih
3110,0.9849,Apa partai politik pertama di Indonesia ?,partai politik pertama di Indonesia apa sih
1450,0.9850,Kapan Jagatara Oharu lahir?,Jagatara Oharu lahir kapan sih
78,0.9873,kapankah provinsi Bangka Belitung didirikan?,provinsi Bangka Belitung didirikan kapan sih
4574,0.9874,Siapa pemimpin pertama Kekhalifahan Abbasiyah?,Kekhalifahan Abbasiyah pemimpin pertama siapa sih
1407,0.9880,kapankah internet di ciptakan?,internet diciptakan kapan sih
5253,0.9882,Kapan Imagawa Yoshimoto meninggal ?,kapan Imagawa Yoshimoto meninggal sih
5210,0.9892,bahasa apakah yang paling banyak digunakan di Afganistan?,bahasa yg paling banyak dipakai di Afganistan apa ya
5706,0.9913,siapakah pencipta serial Transformers?,pencipta serial Transformers siapa sih
3930,0.9926,siapakah pencipta roket pertama kali?,pencipta roket pertama kali siapa sih
220,0.9932,apakah hewan tercepat di dunia?,hewan tercepat di dunia itu apa sih
